sample.ID	species	year.sampling	month.sampling	date.sampling	sex.bird	site.of.sampling	peak_score	mean_swel	Folder.me	Sample.ID	Genome.sequence.file.me	Origil.isolate.ID	trelabels	Lmes	final.name
090809_c1	HOFI	2009	9	18	female	Alabama			Sample_B2	090809_c1	90809_2009.fasta	090809 MG P3 9/18/09	Sample_B2	A090809	AL_2009_1
119_2001	HOFI	2001	6			Alabama	5	62.65309677	PRO1494_Plate1_C1	119_2001	174194119 6 JUL 01_2001.fasta	174194119 6 JUL 01	Sample_PRO1494_Plate1_C1	A119	AL_2000_8
119_2004_c1	HOFI	2004	3	15		Alabama			Sample_C5	119_2004_c1	119_2004.fasta	119 3-15-04	Sample_C5	A11904	AL_2004_1
142_2001	HOFI	2001	7			Alabama			PRO1494_Plate1_H2	142_2001	174194142_2001.fasta	174194142 MG P?2	Sample_PRO1494_Plate1_H2	A142	AL_2000_9
1553LTE_1999_c1	HOFI	1999				Alabama			Sample_C7	1553LTE_1999_c1	1553LTE_1999.fasta	1553 LATE 1 Aug 00	Sample_C7	A1553LTE	AL_1999_2
1561_1995_c1	HOFI	1995	11	12		Alabama			Sample_D4	1561_1995_c1	1561 12 NOV 95_1995.fasta	1561 12 Nov 95	Sample_D4	A1561	AL_1995_2
195_2003_c1	HOFI	2003	8	1	male	Alabama	0	1.81724605	Sample_E11	195_2003_c1	185180195 3 SEP 2003_2003.fasta	185180195 P?3 3 SEP 03	Sample_E11	A195	AL_2003_3
1999_2	HOFI	1999				Alabama			PRO1494_Plate1_H1	1999_2	1999_2 16-1-14.fasta	1999 2 	Sample_PRO1494_Plate1_H1	A2	AL_1999_3
2007_01505	HOFI	2007	4	13		Alabama	3.5	48.37011574	PRO1494_Plate1_C2	2007_01505	AU2007_01505.fasta	AU2007_01505 FROM 2419 P3 4-13-07	Sample_PRO1494_Plate1_C2	A01505	AL_2007_3
2007_01510_c1	HOFI	2007	1			Alabama	5	76.03870916	Sample_E12	2007_01510_c1	AU2007_01510.fasta	AU2007_01510  MG P4	Sample_E12	A01510	AL_2007_1
2007_01546	HOFI	2007	1			Alabama	5	32.56142631	PRO1494_Plate1_F2	2007_01546	AU2007_01546.fasta	AU2007_01546	Sample_PRO1494_Plate1_F2	A01546	AL_2007_2
2011_001	HOFI	2011	8			Alabama	2.5	17.64663128	PRO1494_Plate1_E1	2011_001	AU2011_001.fasta	AU2011_001 MG P2	Sample_PRO1494_Plate1_E1	A001	AL_2011_2
2011_004_c1	HOFI	2011	8			Alabama			Sample_B6	2011_004_c1	AU2011_004.fasta	AU2011_004 MG P2	Sample_B6	A004	AL_2011_6
2011_006_c2	HOFI	2011	8			Alabama	2	12.59872142	Sample_B1	2011_006_c2	AU2011_006_c2.fasta	AU2011_006 MG P2	Sample_B1	A006	AL_2011_1
2011_012_c1	HOFI	2011	8			Alabama			Sample_D1	2011_012_c1	AU2011_012.fasta	AU2011_012	Sample_D1	A012	AL_2011_7
2011_013_c1	HOFI	2011	8			Alabama	5	40.7572228	Sample_D9	2011_013_c1	AU2011_013.fasta	AU2011_013 P2	Sample_D9	A013	AL_2011_3
2011_018_c1	HOFI	2011	8			Alabama			Sample_C1	2011_018_c1	AU2011_018.fasta	AU2011_018 MG P3	Sample_C1	A018	AL_2011_8
2011_020_c1	HOFI	2011	8			Alabama	5	34.95604086	Sample_A8	2011_020_c1	AU2011_020.fasta	AU2011_020 MG P2	Sample_A8	A020	AL_2011_4
2011_021_c1	HOFI	2011	8			Alabama			Sample_C11	2011_021_c1	AU2011_021.fasta	AU2011_021 P5	Sample_C11	A021	AL_2011_9
2011_044_c1a	HOFI	2011	8			Alabama	4	26.20071239	Sample_A9	2011_044_c1a	AU2011_044_2011.fasta	AU2011_044 P2	Sample_A9	A044	AL_2011_5
2011_046_c1	HOFI	2011	8			Alabama			Sample_B9	2011_046_c1	AU2011_046.fasta	AU2011_046 P4	Sample_B9	A046	AL_2011_11
2011_AMGO_c2	AMGO	2011	8			Alabama			Sample_A12	2011_AMGO_c2	AU2011_AMGO_2011.fasta	AU2011_AMGO P3	Sample_A12	AMGO	AL_2011_12
2012_2486_c1	HOFI	2012	9			Alabama			Sample_B3	2012_2486_c1	AU2012_2486.fasta	AU2012_2486 MG P3	Sample_B3	A2486	AL_2012_4
2012_3225_c2	HOFI	2012	9			Alabama			Sample_F9	2012_3225_c2	AU2012_3225.fasta	AU2012_3225 P2	Sample_F9	A3225	AL_2012_5
2012_3240_c1	HOFI	2012	9			Alabama			Sample_B5	2012_3240_c1	AU2012_3240.fasta	AU2012_3240 P2	Sample_B5	A3240	AL_2012_6
2012_3244	HOFI	2012	9			Alabama			PRO1494_Plate1_G2	2012_3244	AU2012_3244.fasta	AU2012_3244 MG P2	Sample_PRO1494_Plate1_G2	A3244	AL_2012_7
2012_3278_c1	HOFI	2012	9			Alabama			Sample_B4	2012_3278_c1	AU2012_3278.fasta	AU2012_3278 MG P2	Sample_B4	A3278	AL_2012_8
2012_3316_c1	HOFI	2012	8			Alabama			Sample_C2	2012_3316_c1	AU2012_3316.fasta	AU2012_3316 P2	Sample_C2	A3316	AL_2012_1
2012_Black_c1	HOFI	2012	8			Alabama			Sample_D10	2012_Black_c1	AU2012_Black.fasta	AU2012_BLACK P2	Sample_D10	Black	AL_2012_2
